approve,id,final_cls,reason,value,suggestion,entry_id,field_path,context_before,context_after,hf_cls,gemini_cls,rule_hint,note
,cand-1616181,error_no_fix,digit_in_letter,Trait6,Trait6,schaff-herzog.du-pin-louis-ellies,definition_blocks[1],"tionee historicas (Paris, 1686) and his",de la puissance eccl6- siastique et tem,error,,,error confirmed but no correction suggestion
,cand-1617005,error_no_fix,digit_in_letter,Vitr6,Vitr6,schaff-herzog.lippe,definition_blocks[20],sis wted as a mediator. At the Synod of,"in May, 1583, suspicion of Henry's ambi",error,,,error confirmed but no correction suggestion
,cand-1617922,error_no_fix,digit_in_letter,Cond6,Cond6,schaff-herzog.lippe,definition_blocks[33],"l portance. exerted for peace, and when","took up arms in 1615, he was suc- cessf",error,,,error confirmed but no correction suggestion
,cand-1623480,error_no_fix,digit_in_letter,DWI6HT9,DWI6HT9,schaff-herzog.dwi6ht9-tim0th7,term,,TIM0TH7,error,,,error confirmed but no correction suggestion
,cand-1625999,error_no_fix,digit_in_letter,Hippol3rtus,Hippol3rtus,schaff-herzog.easter,definition_blocks[14],ed recently passages from the Canons of,"(TU, vi. 4, pp. 116-116) and from Aphra",error,,,error confirmed but no correction suggestion
,cand-1628156,error_no_fix,digit_in_letter,Eg3rptian,Eg3rptian,schaff-herzog.easter,definition_blocks[48],y of the Montanists who by means of the,calen- dar designated the seventh of Ap,error,,,error confirmed but no correction suggestion
,cand-1629928,error_no_fix,digit_in_letter,mart3nrs,mart3nrs,schaff-herzog.eastern-church,definition_blocks[16],"tine the Great, together with a host of","and confessors, belong to the Greek com",error,,,error confirmed but no correction suggestion
,cand-1630071,error_no_fix,digit_in_letter,h3rmns,h3rmns,schaff-herzog.eastern-church,definition_blocks[21],"hrough the Nicene and other creeds, its","made known by J. M. Neale and othen, an",error,,,error confirmed but no correction suggestion
,cand-1635902,error_no_fix,digit_in_letter,I7s6er,I7s6er,schaff-herzog.ebel-johahn-wilhelm,definition_blocks[3],"e of J. Ebel, London, 1882; H. Wagener,","J. W. Ebel, Ludwigsbuig. 1861. Consult",error,,,error confirmed but no correction suggestion
,cand-1637703,error_no_fix,digit_in_letter,aU4eaiholiachen,aU4eaiholiachen,schaff-herzog.ebiohites,definition_blocks[6],"g, 1844; A. Ritschl. Die EnteteKung der","Kimhe^ pp. 152 sqq., Bonn, 1857; A. Hil",error,,,error confirmed but no correction suggestion
,cand-1642289,error_no_fix,digit_in_letter,by4aws,by4aws,schaff-herzog.ecclesiolggy,definition_blocks[16],", or it is in the nature of statutes or",and therefore more easily amended. The,error,,,error confirmed but no correction suggestion
,cand-1645693,error_no_fix,digit_in_letter,mo6t,mo6t,schaff-herzog.eckhart,definition_blocks[6],ve been appointed teacher in one of the,famous schools of the order.,error,,,error confirmed but no correction suggestion
,cand-1648772,error_no_fix,digit_in_letter,acriptoribu9,acriptoribu9,schaff-herzog.hl-system,definition_blocks[23],"Bibuoorapht: J. Trittenheim, De","eoeie9ia$- ticia, ch. 537, Basel, 1494;",error,,,error confirmed but no correction suggestion
,cand-1659819,error_no_fix,digit_in_letter,Bois6,Bois6,schaff-herzog.bblls-mtron,definition_blocks[0],pastor of the Congregational Church at,"aty, Ida., 1872-74, and after 1874 was",error,,,error confirmed but no correction suggestion
,cand-1660606,error_no_fix,digit_in_letter,Stubbekj6bing,Stubbekj6bing,schaff-herzog.egbert-of-york,definition_blocks[11],"coast of Norway), Jan. 31, 1686; d. at",(58 m. s.w. of Copenhagen) in the islan,error,,,error confirmed but no correction suggestion
,cand-1664979,error_no_fix,digit_in_letter,b6en,b6en,schaff-herzog.xxvi,definition_blocks[19],bearing this desig- Period. nation had,defeated in Palestine; but as it stands,error,,,error confirmed but no correction suggestion
,cand-1666510,error_no_fix,digit_in_letter,j6gypte,j6gypte,schaff-herzog.xxvi,definition_blocks[37],vations qui 1708-1880. ont iU faites en,pendant Vex- pddition de I'arm/e franga,error,,,error confirmed but no correction suggestion
,cand-1666689,error_no_fix,digit_in_letter,V6gypte,V6gypte,schaff-herzog.xxvi,definition_blocks[38],"q.), the French equivalents in ments de",el de Nubie (4 and 8 vols. 1835 sqq.).,error,,,error confirmed but no correction suggestion
,cand-1666770,error_no_fix,digit_in_letter,pyramidj3,pyramidj3,schaff-herzog.xxvi,definition_blocks[43],lyato The object of the building of the,was discovered lai^gely through the inv,error,,,error confirmed but no correction suggestion
,cand-1667566,error_no_fix,digit_in_letter,Eg3rptian,Eg3rptian,schaff-herzog.xxvi,definition_blocks[59],"directed upon ""thae two riddles of the",sphinx — the eth- Ekology and language,error,,,error confirmed but no correction suggestion
,cand-1669473,error_no_fix,digit_in_letter,4er,4er,schaff-herzog.xxvi,definition_blocks[80],. Beth. Die orienUdiedte Chrieten^ heii,"MiUelmeerUknder, Berlin, 1902; H. Gunde",error,,,error confirmed but no correction suggestion
,cand-1669480,error_no_fix,digit_in_letter,franteti9che,franteti9che,schaff-herzog.xxvi,definition_blocks[80],"erUknder, Berlin, 1902; H. Gundert. Die","Mieeion, ikre Ldnder^ V6fkeT und Arbeit",error,,,error confirmed but no correction suggestion
,cand-1669485,error_no_fix,digit_in_letter,V6fkeT,V6fkeT,schaff-herzog.xxvi,definition_blocks[80],"Die franteti9che Mieeion, ikre Ldnder^","und Arbeiten, pp. 232 K|q.. Stuttgart,",error,,,error confirmed but no correction suggestion
,cand-1670776,error_no_fix,digit_in_letter,G6ttingen,G6ttingen,schaff-herzog.august-eduard,definition_blocks[29],"15, 1814; d. at","Mar. 20, 1878. He was educated at Mannh",error,,,error confirmed but no correction suggestion
,cand-1672059,error_no_fix,digit_in_letter,6tude,6tude,schaff-herzog.einhard,definition_blocks[2],ranalation dee aainU MareeUinet Pierre.,aur Einhard et aa vie politique 8t7-8SU,error,,,error confirmed but no correction suggestion
,cand-1672545,error_no_fix,digit_in_letter,Reoe9ten,Reoe9ten,schaff-herzog.einhard,definition_blocks[11],eriiile will be found in T. von Bfohr's,der Ankim in <Ur Sehveueritdien Eidgeno,error,,,error confirmed but no correction suggestion
,cand-1672765,error_no_fix,digit_in_letter,da3rs,da3rs,schaff-herzog.evangeusch-kirchliche,definition_blocks[0],stria. The conference lasts about eight,and is usually opened on Thursday in Tr,error,,,error confirmed but no correction suggestion
,cand-1677683,error_no_fix,digit_in_letter,EU6IUS,EU6IUS,schaff-herzog.eu6ius-elotsius-eloi-saint,term,,"(ELOTSIUS, ELOI), SAINT",error,,,error confirmed but no correction suggestion
,cand-1679081,error_no_fix,digit_in_letter,Preu99iachs,Preu99iachs,schaff-herzog.elijah,definition_blocks[30],"of larael, Chicago, 1897; H. Gunkel. in","JahrbQeher, 1898, pp. 18-51; idem, Elic",error,,,error confirmed but no correction suggestion
,cand-1682071,error_no_fix,digit_in_letter,hem4fen,hem4fen,schaff-herzog.elizabeth-saint-sisters-of,definition_blocks[3],gregaHonen der grauen Schweatem von der,"Eliaabeth, Breslau. 1892; Currier, Reli",error,,,error confirmed but no correction suggestion
,cand-1688093,error_no_fix,digit_in_letter,Rdk6czy,Rdk6czy,schaff-herzog.ember-paulus,definition_blocks[0],war following the revolution of Francis,"and had to flee from Szatmar, where he",error,,,error confirmed but no correction suggestion
,cand-1696245,error_no_fix,digit_in_letter,Wi99en9chaft,Wi99en9chaft,schaff-herzog.encyclical-letters,definition_blocks[43],"rimm, in ZWT, 1882. pp. 1-28; M. KAhkr.","der d^riatlichen Ldtre^ pp. 1-42, Leipd",error,,,error confirmed but no correction suggestion
,cand-1707091,error_no_fix,digit_in_letter,r6Ie,r6Ie,schaff-herzog.enlightenment-the,definition_blocks[8],"the mind of the individual, and in this",of champion against tradition it is sub,error,,,error confirmed but no correction suggestion
,cand-1708777,error_no_fix,digit_in_letter,Schl6zer,Schl6zer,schaff-herzog.enlightenment-the,definition_blocks[24],", and in Germany by Gatterer (d. 1799),","(d. 1809), Heeren (d. 1842), Meiners (d",error,,,error confirmed but no correction suggestion
,cand-1711718,error_no_fix,digit_in_letter,destro3ring,destro3ring,schaff-herzog.iv-io,definition_blocks[15],"red also the field of economic thought,",the individualistic principles of the E,error,,,error confirmed but no correction suggestion
,cand-1714896,error_no_fix,digit_in_letter,Hopkin9,Hopkin9,schaff-herzog.ephod,definition_blocks[9],"aAPHT: T. G. Foote. Th§ Ephod, in Johng","Umttnity CircuUxn, Baltimore, 1900; ide",error,,,error confirmed but no correction suggestion
,cand-1714987,error_no_fix,digit_in_letter,E7HRAEM,E7HRAEM,schaff-herzog.ephod,definition_blocks[10],,"(EPHREM) SYRUS (""Ephraim the Sjrian""; S",error,,,error confirmed but no correction suggestion
,cand-1721080,error_no_fix,digit_in_letter,presb3rter,presb3rter,schaff-herzog.episcopacy,definition_blocks[13],episcopate as only a presidency of the,over his peers; yet the Episcopal Churc,error,,,error confirmed but no correction suggestion
,cand-1722916,error_no_fix,digit_in_letter,3linor,3linor,schaff-herzog.epistle,definition_blocks[11],widely scattered over Asia,and,error,,,error confirmed but no correction suggestion
,cand-1728387,error_no_fix,digit_in_letter,tie9,tie9,schaff-herzog.erasmus,definition_blocks[45],burg. 1906; an Eng. transL of the Spit-,", , . to hia Fifty-firvt Year, Arranged",error,,,error confirmed but no correction suggestion
,cand-1734044,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.erthal-frakz-ludwig-von,definition_blocks[2],"on ErthtU, Bamberg, 1894; Zum OedAchtnU","FUrttbiachofa Fraru Ludwio von Erthal,",error,,,error confirmed but no correction suggestion
,cand-1734052,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.erthal-frakz-ludwig-von,definition_blocks[2],"hofa Fraru Ludwio von Erthal, in Archiv",hiatorUehen Vereina von Unterfranken un,error,,,error confirmed but no correction suggestion
,cand-1735228,error_no_fix,digit_in_letter,Bsohatoloff7,Bsohatoloff7,schaff-herzog.eschatology,definition_blocks[20],,,error,,,error confirmed but no correction suggestion
,cand-1737019,error_no_fix,digit_in_letter,hii4ory,hii4ory,schaff-herzog.eschatology,definition_blocks[31],evoted to the subject; the works on the,of doctrine will guide to the historica,error,,,error confirmed but no correction suggestion
,cand-1747508,error_no_fix,digit_in_letter,Pens4essur,Pens4essur,schaff-herzog.ethics,definition_blocks[53],"y Jansenism, as represented in Pascal's","lareligion (Paris, 1670) and Ques- nel'",error,,,error confirmed but no correction suggestion
,cand-1755013,error_no_fix,digit_in_letter,3uilding,3uilding,schaff-herzog.ii,definition_blocks[53],ollege edifice and an adjoining libraiy,has been purchased in the vicinity of t,error,,,error confirmed but no correction suggestion
,cand-1757633,error_no_fix,digit_in_letter,S3modical,S3modical,schaff-herzog.ii,definition_blocks[76],and all expenses are defrayed from the,"treasury, which is kept solvent by volu",error,,,error confirmed but no correction suggestion
,cand-1757729,error_no_fix,digit_in_letter,L6he,L6he,schaff-herzog.ii,definition_blocks[80],"e ministry at Ft. Wayne, Ind., in 1846.","sent over eleven young men, together wi",error,,,error confirmed but no correction suggestion
,cand-1758909,error_no_fix,digit_in_letter,9BE,9BE,schaff-herzog.ii,definition_blocks[92],,M£iW 8CHAFF»H£IRZ00,error,,,error confirmed but no correction suggestion
,cand-1761145,error_no_fix,digit_in_letter,G99cMehU,G99cMehU,schaff-herzog.ii,definition_blocks[117],"i Iowa, ChioMBO, 1897; G. J. Fritacbel.",dtr lutheriaeK^n Kinhs in Awurika^ GQte,error,,,error confirmed but no correction suggestion
,cand-1763834,error_no_fix,digit_in_letter,Cu3rahoga,Cu3rahoga,schaff-herzog.ii,definition_blocks[142],"eological Seminaiy is located at Berea,","Co., O., and is in reality a part of Ge",error,,,error confirmed but no correction suggestion
,cand-1765338,error_no_fix,digit_in_letter,6or,6or,schaff-herzog.ethnarch,definition_blocks[3],"title borne by the Hasmoneans (q.v.),in","Jonathan was called by Alexander, son o",error,,,error confirmed but no correction suggestion
,cand-1769022,error_no_fix,digit_in_letter,6ei,6ei,schaff-herzog.ettwehf-john,definition_blocks[72],"Oxford, 1896; Catergian, Die Litur- 0eN","den Armeniem, Vienna, 1897; F. E. Warre",error,,,error confirmed but no correction suggestion
,cand-1773080,error_no_fix,digit_in_letter,Pap9t,Pap9t,schaff-herzog.eugeniusy-yu-jl-ni-us,definition_blocks[27],"no det Kamaldulentert A, Traver§ari gum","Evgen IV., Ddbling. 1886; M. Birck. Der",error,,,error confirmed but no correction suggestion
,cand-1774560,error_no_fix,digit_in_letter,mart3rr,mart3rr,schaff-herzog.eulogius-of-cordova,definition_blocks[0],"books, which is the main source of the",history of the time and appears to be a,error,,,error confirmed but no correction suggestion
,cand-1775585,error_no_fix,digit_in_letter,Tolve3,Tolve3,schaff-herzog.eunomnis-eunomians,definition_blocks[14],epistemological reasoning; but this in-,no essential variance. (F. Loofs.),error,,,error confirmed but no correction suggestion
,cand-1775633,error_no_fix,digit_in_letter,CSaa3ult,CSaa3ult,schaff-herzog.csaa3ult,term,,,error,,,error confirmed but no correction suggestion
,cand-1779685,error_no_fix,digit_in_letter,4lh,4lh,schaff-herzog.eusebius-bruno-of-augers,definition_blocks[39],"ngen. 1843; J. H. Newman, Ariane of the","Century, London, 1871; V. Hely. Bueibe",error,,,error confirmed but no correction suggestion
,cand-1779757,error_no_fix,digit_in_letter,2ia,2ia,schaff-herzog.eusebius-of-emesa,definition_blocks[2],,,error,,,error confirmed but no correction suggestion
,cand-1780154,error_no_fix,digit_in_letter,Auteur9,Auteur9,schaff-herzog.eusebius-of-emesa,definition_blocks[7],"412 sqq.. Hamburg, 1801; Ceillier,","MocrU, iv.",error,,,error confirmed but no correction suggestion
,cand-1780681,error_no_fix,digit_in_letter,s3mod,s3mod,schaff-herzog.eusebius-of-samosata,definition_blocks[1],e by the death of Valens. He was at the,"held in Sept., 379, nine months after B",error,,,error confirmed but no correction suggestion
,cand-1781036,error_no_fix,digit_in_letter,aw2,aw2,schaff-herzog.eusebius-of-vercelu,definition_blocks[1],"ilan, probably i bins at first remained",in company of the Rom practically reach,error,,,error confirmed but no correction suggestion
,cand-1785753,error_no_fix,digit_in_letter,Li6er,Li6er,schaff-herzog.eutychianus,definition_blocks[1],Bxblioobapht:,"pontificalie, ed. Mommsen in MQH,",error,,,error confirmed but no correction suggestion
,cand-1790447,error_no_fix,digit_in_letter,6evai,6evai,schaff-herzog.evangelical-union,definition_blocks[3],ur years. A monthly Forward existed for,years and the Day Star and Dew Drop had,error,,,error confirmed but no correction suggestion
,cand-1793627,error_no_fix,digit_in_letter,tt9,tt9,schaff-herzog.everett-charles-carroll,definition_blocks[1],,,error,,,error confirmed but no correction suggestion
,cand-1795289,error_no_fix,digit_in_letter,Kw4ffr7,Kw4ffr7,schaff-herzog.evolution,definition_blocks[26],,the conceptionof God took an important,error,,,error confirmed but no correction suggestion
,cand-1797606,error_no_fix,digit_in_letter,4tb,4tb,schaff-herzog.evolution,definition_blocks[61],"Heinse. BerUn, 1903-07, Eng. transl. of","ed., London, 1875-76; J. E. Erdmann. 2",error,,,error confirmed but no correction suggestion
,cand-1797721,error_no_fix,digit_in_letter,Da9,Da9,schaff-herzog.evolution,definition_blocks[64],d Platoniamt London. 1893; C. Baeumker.,Prob- lem der MaUrie in der ffnediiache,error,,,error confirmed but no correction suggestion
,cand-1797752,error_no_fix,digit_in_letter,PhHo9ophie,PhHo9ophie,schaff-herzog.evolution,definition_blocks[64],"olaua Cuaanut, Bonn, 1847; J. Uebinger,",det Nieolaua Cuaanut^ Wiirs- burg. 1881,error,,,error confirmed but no correction suggestion
,cand-1798321,error_no_fix,digit_in_letter,G6ttingen,G6ttingen,schaff-herzog.ewald-6e0rg-heinrich-august,definition_blocks[0],"rmnasium at WolfenbOttd, he returned to",in 1824 as repetent in the theological,error,,,error confirmed but no correction suggestion
,cand-1799054,error_no_fix,digit_in_letter,EWIH6,EWIH6,schaff-herzog.ewih6,term,,,error,,,error confirmed but no correction suggestion
,cand-1808374,error_no_fix,digit_in_letter,an3rwhere,an3rwhere,schaff-herzog.exegesis-or-herme,definition_blocks[126],more in the building of the nation than,else in the worid. As a result of all t,error,,,error confirmed but no correction suggestion
,cand-1813126,error_no_fix,digit_in_letter,la3rmen,la3rmen,schaff-herzog.extreme-unction,definition_blocks[12],the pope can not authorize deacons and,"to do so, although Innocent I. implies",error,,,error confirmed but no correction suggestion
,cand-1813608,error_no_fix,digit_in_letter,u6er,u6er,schaff-herzog.etlert-ruhlemaim-friedrich,definition_blocks[0],"ie Parabdn Jesu (Halle, 1806); PredigUn",Bedurfniase unsers Herzens und VerhOUni,error,,,error confirmed but no correction suggestion
,cand-1814710,error_no_fix,digit_in_letter,S3rmptoms,S3rmptoms,schaff-herzog.ezekiel,definition_blocks[12],t more intelligible by finding here the,"of severe catalepsy. Dumbness, indeed,",error,,,error confirmed but no correction suggestion
,cand-1814938,error_no_fix,digit_in_letter,mai4ced,mai4ced,schaff-herzog.ezekiel,definition_blocks[19],"ok>g- ical character of Ezekiel, he has","points of contact with Jeremiah, who re",error,,,error confirmed but no correction suggestion
,cand-1816507,error_no_fix,digit_in_letter,ro3ral,ro3ral,schaff-herzog.ezra,definition_blocks[9],this matter as the repre- sentative of,"authority but as a religious leader, re",error,,,error confirmed but no correction suggestion
,cand-1820262,error_no_fix,digit_in_letter,apocal3rptlc,apocal3rptlc,schaff-herzog.faber-george-stanley,definition_blocks[2],"oted largely to prophecy, belong to the",school of BiUicid interpretation and ar,error,,,error confirmed but no correction suggestion
,cand-1826905,error_no_fix,digit_in_letter,p63rchological,p63rchological,schaff-herzog.faith,definition_blocks[27],"tion of faith, by the estabUshment of a",scheme; but owing to his insufficient a,error,,,error confirmed but no correction suggestion
,cand-1831365,error_no_fix,digit_in_letter,towar4,towar4,schaff-herzog.hebrew,definition_blocks[28],dency the former custom of marrying two,sisters at the same time was pro- Monog,error,,,error confirmed but no correction suggestion
,cand-1840329,error_no_fix,digit_in_letter,IS99,IS99,schaff-herzog.fauhce-william-herbert-perry,definition_blocks[0],"t Church, New York City, 1889-99. Since",be has been president of Brown Universi,error,,,error confirmed but no correction suggestion
,cand-1841551,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.faustusofriez-lat-be-t-faustusrejensis,definition_blocks[14],Unoedruekk . . . Qveilen zur Oe»€hichU,"TauftymboU, ii. 183 iqq.. Chriatiania.",error,,,error confirmed but no correction suggestion
,cand-1841886,error_no_fix,digit_in_letter,Fnn9ois,Fnn9ois,schaff-herzog.favre-faber-pierre-frahgois,definition_blocks[2],"en, in Lower Languedoc, and accompanied","de la Baume, bishop of Halicamassus, on",error,,,error confirmed but no correction suggestion
,cand-1842099,error_no_fix,digit_in_letter,HeidenmiB9UMh,HeidenmiB9UMh,schaff-herzog.favre-faber-pierre-frahgois,definition_blocks[6],gnif€ auf dU evangelisdie,pp. 388 sqq..,error,,,error confirmed but no correction suggestion
